org_ein,state,state_name,name,address,city,fips,ruledate,nteecc,region,division
010274725,ME,Maine,THE OPPORTUNITY ALLIANCE,50 LYDIA LN,SO PORTLAND,23005,1965,P20,Northeast,New England
010275156,ME,Maine,WESTERN MAINE COMMUNITY ACTION INC,PO BOX 200,EAST WILTON,NA,1966,P20,Northeast,New England
010277678,ME,Maine,KENNEBEC VALLEY COMMUNITY ACTION PROGRAM,97 W ST,WATERVILLE,23011,1965,P20,Northeast,New England
010281875,ME,Maine,EASTERN MAINE DEVELOPMENT CORPORATION,40 HARLOW STREET,BANGOR,23019,1994,S30,Northeast,New England
010287624,ME,Maine,H O M E INC,PO BOX 10,ORLAND,23009,1971,P29,Northeast,New England
010315296,ME,Maine,AVESTA HOUSING DEVELOPMENT CORPORATION,307 CUMBERLAND AVE,PORTLAND,23005,1976,L22,Northeast,New England
010315732,ME,Maine,MIDCOAST MAINE COMMUNITY ACTION,34 WING FARM PKWY,BATH,23023,1973,P20,Northeast,New England
010347504,ME,Maine,COASTAL ENTERPRISES INC,30 FEDERAL ST,BRUNSWICK,23005,1978,S43,Northeast,New England
010353284,ME,Maine,MATTAWAMKEAG HOUSING CORP,4 UNION PLZ STE 9,BANGOR,23019,1983,L80,Northeast,New England
010355563,ME,Maine,MAINE DEVELOPMENT FOUNDATION,2 BEECH ST UNIT 203,HALLOWELL,23011,1978,S30,Northeast,New England
010367546,ME,Maine,THE HOUSING FOUNDATION,353 MAIN ST,ORONO,23019,1979,L21,Northeast,New England
010373230,ME,Maine,LEWISTON-AUBURN ECONOMIC GROWTH COUNCIL,415 LISBON ST STE 100,LEWISTON,23001,1981,S30,Northeast,New England
010376239,ME,Maine,STELLA MARIS HOUSING DEVELOPMENT CORP,148 BROADWAY,ROCKLAND,23013,1981,L21,Northeast,New England
010403876,ME,Maine,HOUSING FOUNDATION,353 MAIN ST,ORONO,23019,1979,L22,Northeast,New England
010409428,ME,Maine,SCARBOROUGH ECONOMIC DEVELOPMENT CORP,PO BOX 550,SCARBOROUGH,23005,1988,S31,Northeast,New England
010418917,ME,Maine,PREBLE STREET,38 PREBELE STREET 3RD FLOOR,PORTLAND,23005,1990,P30,Northeast,New England
010424969,ME,Maine,COMMUNITY CONCEPTS INCORPORATED,240 BATES ST,LEWISTON,23001,1988,S80,Northeast,New England
010432056,ME,Maine,WESTERN MOUNTAINS ALLIANCE,165 FRONT ST,FARMINGTON,23007,1990,S32,Northeast,New England
010449761,ME,Maine,FREEPORT HOUSING TRUST INC,24 SOUTH ST OFC A,FREEPORT,23005,1990,L20,Northeast,New England
